,img_name,h_bar,v_bar,circle,triangle,y,circle_hn,h_bar_hn,triangle_hn,v_bar_hn,y_hat
0,img_0.png,0,1,0,0,1,0,0,0,1,1
1,img_1.png,0,1,0,0,1,0,0,0,1,1
2,img_2.png,0,0,0,0,0,0,0,0,0,0
3,img_3.png,1,0,0,0,1,0,1,0,0,0
4,img_4.png,0,1,1,0,1,1,0,0,1,1
5,img_5.png,0,1,0,0,1,0,0,0,1,1
6,img_6.png,0,1,0,0,0,0,0,0,1,1
7,img_7.png,0,1,1,1,1,1,0,0,1,1
8,img_8.png,0,1,0,0,1,0,0,0,1,1
9,img_9.png,0,1,0,0,1,0,0,0,1,1
10,img_10.png,0,0,0,0,0,0,0,0,0,0
11,img_11.png,1,1,1,1,1,1,1,1,1,1
12,img_12.png,1,1,0,1,1,0,1,1,1,1
13,img_13.png,0,1,0,1,0,0,0,1,1,1
14,img_14.png,0,1,0,0,1,0,0,0,1,1
15,img_15.png,1,0,0,0,0,0,1,0,0,0
16,img_16.png,1,0,1,1,0,1,1,1,0,0
17,img_17.png,0,1,0,0,0,0,0,0,1,1
18,img_18.png,1,1,0,0,1,0,1,0,1,1
19,img_19.png,1,1,0,0,1,0,1,0,1,1
20,img_20.png,0,1,0,0,1,0,0,0,1,1
21,img_21.png,0,1,0,0,1,0,0,0,1,1
22,img_22.png,1,1,0,0,1,0,1,0,1,1
23,img_23.png,0,1,1,1,0,1,0,1,1,1
24,img_24.png,0,1,0,0,1,0,0,0,1,1
25,img_25.png,0,0,1,0,1,1,0,0,0,0
26,img_26.png,1,1,0,0,0,0,1,0,1,1
27,img_27.png,0,1,0,0,0,0,0,0,1,1
28,img_28.png,0,1,0,0,0,0,0,0,1,1
29,img_29.png,0,1,0,0,0,0,0,0,1,1
30,img_30.png,0,0,1,0,1,1,0,0,0,0
31,img_31.png,0,1,0,1,0,0,0,1,1,1
32,img_32.png,0,1,0,0,0,0,0,0,1,1
33,img_33.png,0,0,1,0,0,1,0,0,0,0
34,img_34.png,0,1,1,0,1,1,0,0,1,1
35,img_35.png,0,1,1,0,1,1,0,0,1,1
36,img_36.png,0,1,1,0,1,1,0,0,1,1
37,img_37.png,0,1,0,0,0,0,0,0,1,1
38,img_38.png,1,1,0,0,0,0,1,0,1,1
39,img_39.png,0,1,1,0,1,1,0,0,1,1
40,img_40.png,1,1,0,1,1,0,1,1,1,1
41,img_41.png,0,1,0,0,0,0,0,0,1,1
42,img_42.png,1,1,0,0,0,0,1,0,1,1
43,img_43.png,1,0,0,0,0,0,1,0,0,0
44,img_44.png,0,1,0,0,0,0,0,0,1,1
45,img_45.png,0,1,0,0,1,0,0,0,1,1
46,img_46.png,0,1,0,0,1,0,0,0,1,1
47,img_47.png,0,0,0,0,0,0,0,0,0,0
48,img_48.png,0,0,0,0,0,0,0,0,0,0
49,img_49.png,0,1,0,0,0,0,0,0,1,1
50,img_50.png,0,0,0,0,0,0,0,0,0,0
51,img_51.png,0,1,0,0,1,0,0,0,1,1
52,img_52.png,0,1,0,0,1,0,0,0,1,1
53,img_53.png,0,1,1,1,1,1,0,1,1,1
54,img_54.png,0,0,0,0,0,0,0,0,0,0
55,img_55.png,1,1,1,1,1,1,1,0,1,1
56,img_56.png,0,1,0,0,1,0,0,0,1,1
57,img_57.png,0,1,1,0,0,1,0,0,1,1
58,img_58.png,0,1,0,0,0,0,0,0,1,1
59,img_59.png,1,1,0,1,1,0,1,0,1,1
60,img_60.png,1,1,0,1,0,0,1,1,1,1
61,img_61.png,0,1,0,0,0,0,0,0,1,1
62,img_62.png,0,1,0,0,1,0,0,0,1,1
63,img_63.png,1,0,0,0,0,0,1,0,0,0
64,img_64.png,0,0,1,0,0,1,0,0,0,0
65,img_65.png,0,1,1,0,1,1,0,0,1,1
66,img_66.png,0,1,0,1,0,0,0,0,1,1
67,img_67.png,0,1,0,0,1,0,0,0,1,1
68,img_68.png,0,1,1,0,0,1,0,0,1,1
69,img_69.png,0,1,0,0,0,0,0,0,1,1
70,img_70.png,0,1,0,0,1,0,0,0,1,1
71,img_71.png,0,1,0,0,1,0,0,0,1,1
72,img_72.png,0,1,1,1,0,1,0,0,1,1
73,img_73.png,1,1,1,1,1,1,1,1,1,1
74,img_74.png,0,1,0,0,0,0,0,0,1,1
75,img_75.png,0,1,0,0,0,0,0,0,1,1
76,img_76.png,0,0,1,0,1,1,0,0,0,0
77,img_77.png,0,1,0,0,0,0,0,0,1,1
78,img_78.png,1,1,1,0,1,1,1,0,1,1
79,img_79.png,0,1,0,0,1,0,0,0,1,1
80,img_80.png,0,1,0,0,0,0,0,0,1,1
81,img_81.png,0,1,1,1,1,1,0,1,1,1
82,img_82.png,0,1,1,0,1,1,0,0,1,1
83,img_83.png,0,1,1,0,1,1,0,0,1,1
84,img_84.png,0,1,0,0,1,0,0,0,1,1
85,img_85.png,0,0,0,0,0,0,0,0,0,0
86,img_86.png,1,0,0,1,0,0,1,1,0,0
87,img_87.png,0,1,0,0,0,0,0,0,1,1
88,img_88.png,0,0,1,0,0,1,0,0,0,0
89,img_89.png,0,1,1,0,1,1,0,0,1,1
90,img_90.png,0,1,0,0,1,0,0,0,1,1
91,img_91.png,0,0,0,1,1,0,0,1,0,0
92,img_92.png,0,1,0,0,1,0,0,0,1,1
93,img_93.png,0,0,0,0,0,0,0,0,0,0
94,img_94.png,0,1,0,0,1,0,0,0,1,1
95,img_95.png,1,0,0,1,0,0,1,1,0,0
96,img_96.png,0,1,1,0,1,1,0,0,1,1
97,img_97.png,0,1,0,1,1,0,0,1,1,1
98,img_98.png,0,0,0,0,1,0,0,0,0,0
99,img_99.png,0,1,1,1,0,1,0,1,1,1
100,img_100.png,0,0,0,0,0,0,0,0,0,0
101,img_101.png,0,1,0,0,1,0,0,0,1,1
102,img_102.png,0,1,0,0,0,0,0,0,1,1
103,img_103.png,0,1,1,1,1,1,0,1,1,1
104,img_104.png,0,1,0,1,1,0,0,0,1,1
105,img_105.png,0,1,1,0,1,1,0,0,1,1
106,img_106.png,1,1,0,0,1,0,1,0,1,1
107,img_107.png,1,1,0,1,1,0,1,1,1,1
108,img_108.png,0,1,0,0,1,0,0,0,1,1
109,img_109.png,0,0,0,0,1,0,0,1,0,0
110,img_110.png,1,1,0,1,1,0,1,1,1,1
111,img_111.png,0,1,1,0,1,1,0,0,1,1
112,img_112.png,0,1,0,0,1,0,0,0,1,1
113,img_113.png,0,0,0,0,1,0,0,0,0,0
